;posicao;linha;coluna;lexema;token
0;29;3;9;;TK_PROG
1;41;4;12;;TK_IMPRIMA
2;42;4;13;;TK_ABRE_PARENTESE
3;57;4;28;"""Digite um nro""";TK_CADEIA
4;58;4;29;;TK_FECHA_PARENTESE
5;67;5;9;;TK_LEIA
6;68;5;10;;TK_ABRE_PARENTESE
7;76;5;18;<numero>;TK_ID
8;77;5;19;;TK_FECHA_PARENTESE
9;88;6;11;<soma>;TK_ID
10;91;6;14;;TK_OP_ATRIBUICAO
11;95;6;18;<a>;TK_ID
12;97;6;20;;TK_OP_SOMA
13;102;6;25;8D.3;TK_NUMERO
14;114;7;12;;TK_IMPRIMA
15;115;7;13;;TK_ABRE_PARENTESE
16;121;7;19;<raiz>;TK_ID
17;122;7;20;;TK_FECHA_PARENTESE
18;137;8;13;;TK_PROG
